Date,Sales
2024-01-01,100
2024-01-02,105
2024-01-03,98
2024-01-04,110
2024-01-05,108
2024-01-06,115
2024-01-07,120
2024-01-08,118
2024-01-09,125
2024-01-10,130
2024-01-11,128
2024-01-12,135
2024-01-13,140
2024-01-14,138
2024-01-15,145
2024-01-16,150
2024-01-17,148
2024-01-18,155
2024-01-19,160
2024-01-20,158
2024-01-21,165
2024-01-22,170
2024-01-23,168
2024-01-24,175
2024-01-25,180
2024-01-26,178
2024-01-27,185
2024-01-28,190
2024-01-29,188
2024-01-30,195
2024-01-31,200
2024-02-01,198
2024-02-02,205
2024-02-03,210
2024-02-04,208
2024-02-05,215
2024-02-06,220
2024-02-07,218
2024-02-08,225
2024-02-09,230
2024-02-10,228
2024-02-11,235
2024-02-12,240
2024-02-13,238
2024-02-14,245
2024-02-15,250
2024-02-16,248
2024-02-17,255
2024-02-18,260
2024-02-19,265
