text,label
"Congratulations! You have won a free iPhone. Claim now!","spam"
"Hey, are we still meeting at 5 PM today?","ham"
"URGENT! Your account has been selected for a cash prize.","spam"
"Can you send me the project report?","ham"
"Win a brand new car by entering our competition!","spam"
"Don't forget our team meeting tomorrow morning.","ham"
"Exclusive offer! Get 50% discount on all products.","spam"
"Happy birthday! Hope you have a wonderful day.","ham"
"You have been pre-approved for a loan. Apply now!","spam"
"Let's have lunch together this weekend.","ham"
"Claim your free vacation package today!","spam"
"Please review the attached document and provide feedback.","ham"
"Limited-time offer! Buy one get one free.","spam"
"I'll call you after I finish work.","ham"
"Your mobile number has won $10,000. Contact us now.","spam"
"Thank you for attending the meeting.","ham"
"Get rich quickly with this amazing opportunity!","spam"
"The assignment deadline has been extended.","ham"
"Free entry into our lucky draw. Participate now!","spam"
"See you at the conference next week.","ham"
